Namibia^kWi0HuwZ68H|
Namibia^kWi0HuwZ68H|Omaruru District^JdZWxlDcuct
Namibia^kWi0HuwZ68H|Swakopmund District^Ep5roMtNesc
Namibia^kWi0HuwZ68H|Usakos District^tbFjsqAACE8
Namibia^kWi0HuwZ68H|Walvis Bay District^E9sSue8msED
Namibia^kWi0HuwZ68H|Aranos District^zunsIBRYV3h
Namibia^kWi0HuwZ68H|Mariental District^bFCHIa6CuzW
Namibia^kWi0HuwZ68H|Rehoboth District^pTuejLrN4sm
Namibia^kWi0HuwZ68H|Karasburg District^h9lJDhyWO9x
Namibia^kWi0HuwZ68H|Keetmanshoop District^F7k9I7WePE7
Namibia^kWi0HuwZ68H|Luderitz District^dnVyDFlf55D
Namibia^kWi0HuwZ68H|Andara District^M4CCRjpqMoJ
Namibia^kWi0HuwZ68H|Nankudu District^wSHVyf2XMH4
Namibia^kWi0HuwZ68H|Nyangana District^FtxUgraJFFH
Namibia^kWi0HuwZ68H|Rundu District^wMIC5fKYst9
Namibia^kWi0HuwZ68H|Windhoek District^OPZrTAb9fdW
Namibia^kWi0HuwZ68H|Khorixas District^ut0VY2RkP4n
Namibia^kWi0HuwZ68H|Opuwo District^dOdJP21SD9O
Namibia^kWi0HuwZ68H|Outjo District^nBGDrsjRfLw
Namibia^kWi0HuwZ68H|Eenhana District^pWoACmCrmMl
Namibia^kWi0HuwZ68H|Engela District^qAWnilOcDa8
Namibia^kWi0HuwZ68H|Okongo District^FKhUQqO7kgp
Namibia^kWi0HuwZ68H|Gobabis District^pCHdG1g9imN
Namibia^kWi0HuwZ68H|Okahao District^EcsNePeiu8B
Namibia^kWi0HuwZ68H|Oshikuku District^qUvunSjZohO
Namibia^kWi0HuwZ68H|Outapi District^kvoY0kknTC4
Namibia^kWi0HuwZ68H|Tsandi District^QH5y5NkOxfc
Namibia^kWi0HuwZ68H|Oshakati District^fGEgF3PkXvq
Namibia^kWi0HuwZ68H|Omuthiya District^A3TNsiR1dh5
Namibia^kWi0HuwZ68H|Onandjokwe District^RTeFLiIQbw6
Namibia^kWi0HuwZ68H|Tsumeb District^PvX6HjANIMR
Namibia^kWi0HuwZ68H|Grootfontein District^HBNyx54xyKg
Namibia^kWi0HuwZ68H|Okahandja District^UQTgGLGzVJR
Namibia^kWi0HuwZ68H|Okakarara District^cwdQdlsupXZ
Namibia^kWi0HuwZ68H|Otjiwarongo District^OZpQSwHeL07
Namibia^kWi0HuwZ68H|Katima Mulilo District^KSe05Xbqo0U
Angola^ANAAAA
Angola^ANAAAA|Angola District^ANDAAA
Botswana^BOAAAA
Botswana^BOAAAA|Botswana District^BODAAA
South Africa^SAAAAA
South Africa^|South Africa District^SADAAA
Zambia^ZMAAAA
Zambia^ZMAAAA|Zambia District^ZMDAAA
Zimbabwe^ZIMAAA
Zimbabwe^ZIMAAA|Zimbabwe District^ZIMDAA